id,label
comrade,comrade
fox,fox
Empedocles,Empedocles
134_THE_TWO_FOWLS,134_THE_TWO_FOWLS
1_THE_GRASSHOPPER_AND_THE_ANT,1_THE_GRASSHOPPER_AND_THE_ANT
people,people
shepherdess,shepherdess
wolves,wolves
Philomel,Philomel
Hecuba,Hecuba
Master Lion,Master Lion
Turk,Turk
Phœbus,Phœbus
Mule,Mule
Lynx,Lynx
60_THE_WOLF_AND_THE_STORK,60_THE_WOLF_AND_THE_STORK
Eel,Eel
donkey,donkey
Apollo,Apollo
Mastiff,Mastiff
59_THE_EYE_OR_THE_MASTER,59_THE_EYE_OR_THE_MASTER
172_THE_APE_AND_THE_LEOPARD,172_THE_APE_AND_THE_LEOPARD
Miller,Miller
17_THE_WOLF_TURNED_SHEPHERD,17_THE_WOLF_TURNED_SHEPHERD
Leopard,Leopard
Cobbler,Cobbler
14_DEATH_AND_THE_WOODCUTTER,14_DEATH_AND_THE_WOODCUTTER
Doe,Doe
Vine,Vine
Phaeton,Phaeton
163_THE_FALCON_AND_THE_CAPON,163_THE_FALCON_AND_THE_CAPON
Hind,Hind
fathers,fathers
Pollux,Pollux
troop,troop
kings of animals,kings of animals
112_THE_COUNTRYMAN_AND_THE_SERPENT,112_THE_COUNTRYMAN_AND_THE_SERPENT
Frog,Frog
Mother Crab,Mother Crab
Mice,Mice
friend,friend
Æsop,Æsop
Magpie,Magpie
61_THE_LION_DEFEATED_BY_MAN,61_THE_LION_DEFEATED_BY_MAN
Friend,Friend
Circe,Circe
travellers,travellers
ox,ox
Merchant,Merchant
Sheep,Sheep
219_THE_QUARREL_OF_THE_DOGS_AND_THE_CATS_AND_ALSO_THAT_OF_THE_CATS,219_THE_QUARREL_OF_THE_DOGS_AND_THE_CATS_AND_ALSO_THAT_OF_THE_CATS
Folly,Folly
Turkeys,Turkeys
Capon,Capon
Iron Pot,Iron Pot
190_THE_MAN_AND_THE_SNAKE,190_THE_MAN_AND_THE_SNAKE
73_MAN_AND_THE_WOODEN_IDOL,73_MAN_AND_THE_WOODEN_IDOL
Snake,Snake
Drones,Drones
Owl,Owl
100_THE_ASS_IN_THE_LIONS_SKIN,100_THE_ASS_IN_THE_LIONS_SKIN
Tench,Tench
106_JUPITER_AND_THE_FARMER,106_JUPITER_AND_THE_FARMER
52_THE_SHEPHERD_AND_THE_SEA,52_THE_SHEPHERD_AND_THE_SEA
Iris,Iris
85_THE_OLD_MAN_AND_HIS_CHILDREN,85_THE_OLD_MAN_AND_HIS_CHILDREN
the patient,the patient
104_PHŒBUS_AND_BOREAS,104_PHŒBUS_AND_BOREAS
173_THE_ACORN_AND_THE_GOURD,173_THE_ACORN_AND_THE_GOURD
Woman,Woman
199_THE_DOG_WHOSE_EARS_WERE_CUT,199_THE_DOG_WHOSE_EARS_WERE_CUT
185_THE_SHEPHERD_AND_THE_KING,185_THE_SHEPHERD_AND_THE_KING
156_THE_HOROSCOPE,156_THE_HOROSCOPE
142_THE_HEAD_AND_THE_TAIL_OF_THE_SERPENT,142_THE_HEAD_AND_THE_TAIL_OF_THE_SERPENT
sage,sage
Madame Weasel,Madame Weasel
161_THE_WOLF_AND_THE_HUNTER,161_THE_WOLF_AND_THE_HUNTER
Tethys,Tethys
Meridarpax,Meridarpax
111_THE_OLD_MAN_AND_THE_ASS,111_THE_OLD_MAN_AND_THE_ASS
214_THE_CAT_AND_THE_TWO_SPARROWS,214_THE_CAT_AND_THE_TWO_SPARROWS
dogs,dogs
Turtle-doves,Turtle-doves
Hydra,Hydra
29_THE_LION_AND_THE_RAT,29_THE_LION_AND_THE_RAT
rich man,rich man
Barn-door Fowl,Barn-door Fowl
Rustaut,Rustaut
Poacher,Poacher
Youths,Youths
Queen,Queen
Tony,Tony
3_THE_FROG_THAT_WISHED_TO_MAKE_HERSELF_AS_BIG_AS_THE_OX,3_THE_FROG_THAT_WISHED_TO_MAKE_HERSELF_AS_BIG_AS_THE_OX
valets,valets
Crow,Crow
98_THE_HARE_THE_PARTRIDGE,98_THE_HARE_THE_PARTRIDGE
infant,infant
157_THE_TORRENT_AND_THE_RIVER,157_THE_TORRENT_AND_THE_RIVER
Bear,Bear
Hill,Hill
Wife,Wife
Hedgehog,Hedgehog
Traveller,Traveller
Dead man,Dead man
Woodcutter,Woodcutter
51_THE_FOX_AND_THE_GOAT,51_THE_FOX_AND_THE_GOAT
mouse,mouse
Pumpkin,Pumpkin
Cray-fish,Cray-fish
stags,stags
Birds,Birds
Alcippus,Alcippus
20_THE_DRONES_AND_THE_BEES,20_THE_DRONES_AND_THE_BEES
Belly,Belly
155_THE_FUNERAL_OF_THE_LIONESS,155_THE_FUNERAL_OF_THE_LIONESS
Pluto,Pluto
merchant,merchant
231_THE_LEAGUE_OF_THE_RATS,231_THE_LEAGUE_OF_THE_RATS
Vulcan,Vulcan
Oxen,Oxen
citizen,citizen
Ceres,Ceres
47_THE_LION_AND_THE_ASS,47_THE_LION_AND_THE_ASS
Acorn,Acorn
Whale,Whale
Log,Log
courtiers,courtiers
46_PHILOMEL_AND_PROGNE,46_PHILOMEL_AND_PROGNE
Wolf-cubs,Wolf-cubs
Creature,Creature
Child,Child
227_THE_CROW_THE_GAZELLE_THE_TORTOISE_AND_THE_RAT,227_THE_CROW_THE_GAZELLE_THE_TORTOISE_AND_THE_RAT
Robber,Robber
Fates,Fates
Partridge,Partridge
Gudgeon,Gudgeon
lambs,lambs
daughter,daughter
Hare,Hare
sheep,sheep
201_THE_PEASANT_OF_THE_DANUBE,201_THE_PEASANT_OF_THE_DANUBE
175_THE_CAT_AND_THE_FOX,175_THE_CAT_AND_THE_FOX
Charcoal-dealer,Charcoal-dealer
48_THE_CAT_AND_THE_OLD_RAT,48_THE_CAT_AND_THE_OLD_RAT
5_THE_WOLF_AND_THE_DOG,5_THE_WOLF_AND_THE_DOG
Beetle,Beetle
Maid,Maid
Bull,Bull
79_THE_OLD_WOMAN_AND_HER_SERVANTS,79_THE_OLD_WOMAN_AND_HER_SERVANTS
creditors,creditors
Hounds,Hounds
beast,beast
Wren,Wren
193_THE_MISER_AND_HIS_FRIEND,193_THE_MISER_AND_HIS_FRIEND
176_THE_SCULPTOR_AND_THE_STATUE_OF_JUPITER,176_THE_SCULPTOR_AND_THE_STATUE_OF_JUPITER
Wolf,Wolf
Carter,Carter
Doctor Much-the-Worse,Doctor Much-the-Worse
Son,Son
44_THE_WOLVES_AND_THE_SHEEP,44_THE_WOLVES_AND_THE_SHEEP
Serpent,Serpent
robbers,robbers
neighbour,neighbour
179_THE_WOLF_AND_THE_STARVED_DOG,179_THE_WOLF_AND_THE_STARVED_DOG
She-Bear,She-Bear
Hermit,Hermit
Earthen Pot,Earthen Pot
creature,creature
Heaven,Heaven
16_DEATH_AND_THE_UNHAPPY_MAN,16_DEATH_AND_THE_UNHAPPY_MAN
Ulysses,Ulysses
Husband,Husband
53_THE_DRUNKARD_AND_HIS_WIFE,53_THE_DRUNKARD_AND_HIS_WIFE
Mouse,Mouse
